epoch,acc,loss,val_acc,val_loss
0,0.337175,1.783792367172241,0.4237,1.6007199718475342
1,0.488725,1.4376327913284301,0.5214,1.3290927223205566
2,0.549325,1.2780651218414307,0.6107,1.1076158143997192
3,0.594625,1.1605321014404297,0.5988,1.1253926141738892
4,0.627375,1.075720486831665,0.6284,1.066252215385437
5,0.647525,1.017382223892212,0.6551,0.9731842205047607
6,0.664275,0.9675549533843995,0.6638,0.9529220081329346
7,0.679425,0.9267598243713379,0.6604,0.9642187004089355
8,0.69005,0.8972032293319702,0.6764,0.9214411417007446
9,0.698875,0.8773047109603882,0.6951,0.8613819150924683
10,0.71,0.8455841190338135,0.715,0.8436408550262451
11,0.71615,0.8256502809524536,0.682,0.9312988159179687
12,0.7245,0.7983427251815796,0.7355,0.7559381433486938
13,0.72985,0.7851277798652649,0.731,0.7786674789428711
14,0.7378,0.7677712107658387,0.7134,0.8411083232879639
15,0.74425,0.750489925956726,0.7445,0.7520699880599976
16,0.746325,0.7376836233139038,0.7231,0.8116478851318359
17,0.752525,0.7278255960464478,0.7591,0.7022008823394775
18,0.759375,0.7105521322250367,0.7503,0.7281287526130676
19,0.76045,0.7018419775009155,0.7368,0.7640768013954162
20,0.7652,0.6873114326477051,0.7649,0.6873900039672851
21,0.768625,0.675983745098114,0.7626,0.7013272914886475
22,0.776125,0.6639910563468933,0.7623,0.6940325922012329
23,0.776725,0.6565715937614441,0.7884,0.6169899661064148
24,0.780175,0.6438971750259399,0.7853,0.6182167086601257
25,0.780375,0.6439135384559631,0.755,0.6941591598510742
26,0.781725,0.6328779624938965,0.7487,0.7408296566009521
27,0.78565,0.6299958387374878,0.7931,0.6097232443809509
28,0.78875,0.6201311180114746,0.7864,0.6269714250564575
29,0.790075,0.6157996156692505,0.7852,0.6369759234428406
30,0.791775,0.6119055735588074,0.7726,0.6648311891555786
31,0.79545,0.6022239220619202,0.7784,0.6415930879592896
32,0.797525,0.5936621199607849,0.7866,0.6164990322113038
